application;project;bug id;count;compile;execution;sum;fileGenerated;container
Flacoco;Codec;18;1;16661;56835;73496;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;2;16200;52723;68923;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;3;17206;53912;71118;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;4;15760;53660;69420;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;5;16900;52522;69422;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;6;15731;52271;68002;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;7;15408;50840;66248;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;8;15349;53410;68759;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;9;15453;52200;67653;true;lab_codec18flacoco_20230131003024
Flacoco;Codec;18;10;16417;51422;67839;true;lab_codec18flacoco_20230131003024
GZoltarCLI;Codec;18;1;16879;57769;74648;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;2;15989;59980;75969;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;3;15891;54813;70704;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;4;16299;55735;72034;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;5;16750;55879;72629;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;6;16540;55622;72162;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;7;17514;55471;72985;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;8;15890;54178;70068;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;9;17201;52789;69990;true;lab_codec18gzoltarcli_20230131012450
GZoltarCLI;Codec;18;10;15163;56702;71865;true;lab_codec18gzoltarcli_20230131012450
GZoltarMaven;Codec;18;1;42458;6295;48753;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;2;45112;4557;49669;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;3;43447;4448;47895;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;4;41251;4554;45805;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;5;40474;4400;44874;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;6;43546;4531;48077;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;7;41391;4416;45807;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;8;42346;4690;47036;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;9;42130;4579;46709;false;lab_codec18gzoltarmaven_20230131031104
GZoltarMaven;Codec;18;10;41495;4513;46008;false;lab_codec18gzoltarmaven_20230131031104
Jaguar2;Codec;18;1;44555;44555;44555;true;lab_codec18jaguar2_20230131021448
Jaguar2;Codec;18;2;42190;42190;42190;true;lab_codec18jaguar2_20230131021448
Jaguar2;Codec;18;3;41039;41039;41039;true;lab_codec18jaguar2_20230131021448
